task_title,difficulty_level,task_handler,t1,t2,t3
Use Bootstrap Card for Pricing Table,Intermediate,front-end developer,HTML,CSS,BOOTSTRAP
Create a website wireframe,Beginner,designer,ADOBE ILLUSTRATOR,,
"Create SQL statement selects all fields using AND, OR and NOT operators",Beginner,back-end developer,SQL DATABASE,,
Add responsive Buttons,Beginner,front-end developer,HTML,CSS,BOOTSTRAP
Create a Date and time picker,Beginner,designer,HTML,CSS,BOOTSTRAP
Change layouts,Advanced,front-end developer,HTML,CSS,BOOTSTRAP
Debug CSS Code,Intermediate,front-end developer,HTML,CSS,BOOTSTRAP
Test all the management,Advanced,tester,MANUAL TESTING,,
Change positions by using Relative Positioning,Advanced,front-end developer,HTML,CSS,BOOTSTRAP
Initialize npm ,Advanced,back-end developer,JAVASCRIPT,NODEJS,EXPRESSJS
Test all the components,Advanced,tester,MANUAL TESTING,,
Test all the UI elements,Beginner,tester,MANUAL TESTING,,
Create checkboxes,Beginner,designer,HTML,CSS,
Create a contact me form,Advanced,front-end developer,HTML,CSS,BOOTSTRAP
Create two html files and save them in the same folder ,Intermediate,back-end developer,JAVASCRIPT,NODEJS,EXPRESSJS
